Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
1982-11-08,10.6617493302241,-3.10786850468232,-619.44866473489,618.938912915635,0.456986461879464,0.456785105539673
1982-11-09,10.6505480825305,-3.02432030976357,-619.346735586363,619.040916612106,0.51886069609589,0.518574627974854
1982-11-10,10.6131710792883,-2.95803413310527,-619.346659300832,619.040997852103,0.518658883802071,0.518527887831681
1982-11-11,NA,NA,NA,NA,NA,NA
1982-11-12,10.6819576562475,-2.73644278161783,-619.60413611262,618.783427896307,0.519602145512446,0.51965524768664
1982-11-15,10.8222378856171,-2.65092610305064,-619.83212178632,618.555416270132,0.520973778410469,0.520977429524824
1982-11-16,10.9102130396371,-2.46767985581978,-620.072653868539,618.314708487006,0.492360234554847,0.492016409757533
1982-11-17,10.8376692386053,-2.28906598196391,-620.203934840064,618.183344720524,0.492705198410897,0.492478459676219
1982-11-18,10.7547689171789,-2.33368464038123,-620.230273929219,618.157007693542,0.419166351596945,0.418760605707345
1982-11-19,10.7137842241471,-1.92078490573957,-620.555771938568,617.831276272676,0.44679231268625,0.446775206864518
1982-11-22,10.7306612068797,-2.29940901180878,-620.399154026228,617.987837091549,0.452862875280203,0.452838094634048
1982-11-23,10.8640905882466,-2.6114051881272,-620.127805654417,618.259369551455,0.558414695159124,0.558302309176283
1982-11-24,10.9166464582857,-2.6821212754096,-620.172256356657,618.214911994285,0.558508196820545,0.55853453587634
1982-11-25,NA,NA,NA,NA,NA,NA
1982-11-26,10.6563706982354,-2.63998767249413,-618.206969888714,620.174759152378,1.56615270464074,1.56720031645157
1982-11-29,10.7697822016145,-2.73314449583115,-618.138977057191,620.244032428492,1.53991330967208,1.54162425824455
1982-11-30,10.9570728978074,-2.61929710319798,-618.530068251017,619.857450207478,1.55115223211123,1.55254821313311
1982-12-01,10.9803978040086,-2.6444252457595,-618.579097458733,619.808243599054,1.55304346712131,1.55421936980267
1982-12-02,10.8844106075351,-2.55915791552761,-618.503568405272,619.884228537033,1.56439219220717,1.56578086796683
1982-12-03,10.7549406897105,-2.66638812528309,-618.427468754226,619.960302323349,1.56524416666637,1.56523280578567
1982-12-06,25,-16.8018904681045,-630.422563206202,608.11082342295,6.69534642993336,6.4850651403663
1982-12-07,24.9999999979319,-16.9110035935372,-630.338852520732,608.193081056221,6.66991079198394,6.4544506812159
1982-12-08,24.9999999999997,-16.9201837150324,-630.145423769824,608.382786521878,6.68103116111437,6.46377394389394
